branch_id,from_bus,to_bus,nominal_status_1closed_0open,switch_type
1,1,2,1,sectionalizing
2,1,3,1,sectionalizing
3,4,1,1,sectionalizing
4,5,2,1,sectionalizing
5,5,6,1,sectionalizing
6,6,7,1,sectionalizing
7,7,8,1,sectionalizing
8,5,9,1,sectionalizing
9,9,10,1,sectionalizing
10,11,10,1,sectionalizing
11,11,12,1,sectionalizing
12,12,13,1,sectionalizing
13,13,14,1,sectionalizing
14,14,15,1,sectionalizing
15,15,16,1,sectionalizing
16,16,17,1,sectionalizing
17,17,18,1,sectionalizing
18,12,19,1,sectionalizing
19,11,20,1,sectionalizing
20,20,21,1,sectionalizing
21,5,22,1,sectionalizing
22,5,23,1,sectionalizing
23,24,23,1,sectionalizing
24,24,25,1,sectionalizing
25,25,26,1,sectionalizing
26,26,27,1,sectionalizing
27,2,3,0,tie
28,28,2,1,sectionalizing
29,29,28,1,sectionalizing
30,29,30,1,sectionalizing
31,31,30,1,sectionalizing
32,31,32,1,sectionalizing
33,32,33,1,sectionalizing
34,34,33,1,sectionalizing
35,34,35,1,sectionalizing
36,36,2,1,sectionalizing
37,36,34,0,tie
38,36,37,1,sectionalizing
39,38,2,1,sectionalizing
40,38,39,1,sectionalizing
41,40,39,1,sectionalizing
42,6,41,1,sectionalizing
43,42,41,1,sectionalizing
44,42,43,1,sectionalizing
45,5,44,1,sectionalizing
46,44,22,0,tie
47,22,45,1,sectionalizing
48,5,46,1,sectionalizing
49,23,46,0,tie
50,5,47,1,sectionalizing
51,5,48,1,sectionalizing
52,49,48,1,sectionalizing
53,50,49,1,sectionalizing
54,51,50,1,sectionalizing
55,52,51,1,sectionalizing
56,52,17,0,tie
57,49,53,1,sectionalizing
58,53,54,1,sectionalizing
59,55,48,1,sectionalizing
60,5,56,1,sectionalizing
61,56,57,1,sectionalizing
62,57,58,1,sectionalizing
63,59,58,1,sectionalizing
64,57,25,0,tie
65,60,2,1,sectionalizing
66,61,60,1,sectionalizing
67,62,61,1,sectionalizing
68,63,2,1,sectionalizing
69,64,63,1,sectionalizing
70,65,64,1,sectionalizing
71,65,66,1,sectionalizing
72,67,66,0,tie
73,68,67,1,sectionalizing
74,64,69,1,sectionalizing
75,62,69,0,tie
76,69,70,1,sectionalizing
77,70,71,1,sectionalizing
78,72,2,1,sectionalizing
79,73,74,1,sectionalizing
80,74,2,1,sectionalizing
81,75,73,0,tie
82,72,76,1,sectionalizing
83,75,76,1,sectionalizing
84,77,2,1,sectionalizing
85,75,77,0,tie
86,75,78,1,sectionalizing
87,78,79,1,sectionalizing
88,80,79,1,sectionalizing
89,81,2,1,sectionalizing
90,77,82,1,sectionalizing
91,83,3,1,sectionalizing
92,83,84,1,sectionalizing
93,84,85,1,sectionalizing
94,86,85,1,sectionalizing
95,87,85,1,sectionalizing
96,87,88,1,sectionalizing
97,88,89,1,sectionalizing
98,90,87,1,sectionalizing
99,91,90,1,sectionalizing
100,91,92,1,sectionalizing
101,93,91,1,sectionalizing
102,93,94,1,sectionalizing
103,95,94,1,sectionalizing
104,96,95,1,sectionalizing
105,97,96,1,sectionalizing
106,98,96,1,sectionalizing
107,99,98,1,sectionalizing
108,99,100,1,sectionalizing
109,84,101,1,sectionalizing
110,101,102,1,sectionalizing
111,103,102,1,sectionalizing
112,104,103,1,sectionalizing
113,103,105,1,sectionalizing
114,106,105,1,sectionalizing
115,105,107,1,sectionalizing
116,107,108,1,sectionalizing
117,109,3,1,sectionalizing
118,109,110,1,sectionalizing
119,111,110,1,sectionalizing
120,111,112,1,sectionalizing
121,112,113,1,sectionalizing
122,114,113,1,sectionalizing
123,114,115,1,sectionalizing
124,115,116,1,sectionalizing
125,115,117,1,sectionalizing
126,117,118,1,sectionalizing
127,119,118,1,sectionalizing
128,119,120,1,sectionalizing
129,121,120,1,sectionalizing
130,122,121,1,sectionalizing
131,114,123,1,sectionalizing
132,113,124,1,sectionalizing
133,124,125,1,sectionalizing
134,125,126,1,sectionalizing
135,127,126,1,sectionalizing
136,128,127,1,sectionalizing
137,128,129,1,sectionalizing
138,80,110,0,tie
139,80,130,1,sectionalizing
140,131,109,1,sectionalizing
141,132,3,1,sectionalizing
142,133,132,1,sectionalizing
143,133,134,1,sectionalizing
144,134,135,1,sectionalizing
145,135,136,1,sectionalizing
146,137,136,1,sectionalizing
147,137,138,1,sectionalizing
148,138,139,1,sectionalizing
149,139,140,1,sectionalizing
150,140,141,1,sectionalizing
151,142,141,1,sectionalizing
152,142,143,1,sectionalizing
153,143,95,0,tie
154,144,142,1,sectionalizing
155,145,144,1,sectionalizing
156,146,142,1,sectionalizing
157,147,146,1,sectionalizing
158,146,148,1,sectionalizing
159,141,149,1,sectionalizing
160,150,149,1,sectionalizing
161,150,151,1,sectionalizing
162,150,152,0,tie
163,152,153,1,sectionalizing
164,153,154,1,sectionalizing
165,155,153,1,sectionalizing
166,156,153,1,sectionalizing
167,156,157,1,sectionalizing
168,158,156,1,sectionalizing
169,158,159,1,sectionalizing
170,158,160,1,sectionalizing
171,161,159,1,sectionalizing
172,162,161,1,sectionalizing
173,160,163,1,sectionalizing
174,160,147,1,sectionalizing
175,155,164,1,sectionalizing
176,155,165,1,sectionalizing
177,166,136,1,sectionalizing
178,167,3,1,sectionalizing
179,168,167,1,sectionalizing
180,169,168,1,sectionalizing
181,169,170,1,sectionalizing
182,170,171,1,sectionalizing
183,172,3,1,sectionalizing
184,173,172,1,sectionalizing
185,174,172,1,sectionalizing
186,175,172,1,sectionalizing
187,176,172,1,sectionalizing
188,177,172,1,sectionalizing
189,178,3,1,sectionalizing
190,179,178,1,sectionalizing
191,179,180,0,tie
192,179,181,1,sectionalizing
193,181,182,1,sectionalizing
194,182,183,1,sectionalizing
195,183,184,1,sectionalizing
196,184,185,1,sectionalizing
197,186,185,1,sectionalizing
198,186,187,1,sectionalizing
199,187,188,1,sectionalizing
200,189,188,1,sectionalizing
201,189,190,1,sectionalizing
202,191,190,1,sectionalizing
203,191,192,1,sectionalizing
204,121,192,0,tie
205,189,193,1,sectionalizing
206,193,194,1,sectionalizing
207,185,129,0,tie
208,195,129,1,sectionalizing
209,196,184,1,sectionalizing
210,197,178,1,sectionalizing
211,198,197,1,sectionalizing
212,198,199,1,sectionalizing
213,200,199,1,sectionalizing
214,200,201,1,sectionalizing
215,202,200,1,sectionalizing
216,202,203,1,sectionalizing
217,202,204,1,sectionalizing
218,204,205,1,sectionalizing
219,204,206,1,sectionalizing
220,207,208,1,sectionalizing
221,207,209,1,sectionalizing
222,209,210,1,sectionalizing
223,210,152,1,sectionalizing
224,211,3,1,sectionalizing
225,212,211,1,sectionalizing
226,212,213,1,sectionalizing
227,213,214,0,tie
228,213,215,1,sectionalizing
229,213,216,1,sectionalizing
230,37,216,0,tie
231,217,37,1,sectionalizing
232,218,3,1,sectionalizing
233,219,218,1,sectionalizing
234,219,215,0,tie
235,218,220,1,sectionalizing
236,221,3,1,sectionalizing
237,221,216,0,tie
238,222,216,0,tie
239,223,216,1,sectionalizing
240,223,171,0,tie
241,224,221,1,sectionalizing
242,225,3,1,sectionalizing
243,226,225,1,sectionalizing
244,226,227,1,sectionalizing
245,228,227,1,sectionalizing
246,228,229,1,sectionalizing
247,229,35,0,tie
248,230,3,1,sectionalizing
249,230,231,1,sectionalizing
250,232,231,1,sectionalizing
251,233,3,1,sectionalizing
252,232,233,0,tie
253,234,232,1,sectionalizing
254,234,235,1,sectionalizing
255,236,237,1,sectionalizing
256,236,40,0,tie
257,81,3,0,tie
258,237,235,1,sectionalizing
259,238,2,1,sectionalizing
260,239,238,1,sectionalizing
261,240,239,1,sectionalizing
262,240,66,0,tie
263,240,241,1,sectionalizing
264,241,242,0,tie
265,243,2,1,sectionalizing
266,244,243,1,sectionalizing
267,244,245,1,sectionalizing
268,245,246,1,sectionalizing
269,214,246,1,sectionalizing
270,214,247,1,sectionalizing
271,247,248,1,sectionalizing
272,249,248,0,tie
273,247,249,0,tie
274,240,2,0,tie
275,68,240,1,sectionalizing
276,250,68,1,sectionalizing
277,250,251,1,sectionalizing
278,251,241,0,tie
279,241,252,1,sectionalizing
280,252,253,1,sectionalizing
281,253,242,1,sectionalizing
282,253,254,1,sectionalizing
283,249,254,1,sectionalizing
284,255,2,1,sectionalizing
285,256,255,1,sectionalizing
286,256,180,1,sectionalizing
287,256,257,1,sectionalizing
288,258,2,1,sectionalizing
289,259,258,1,sectionalizing
290,241,259,0,tie
291,260,2,1,sectionalizing
292,260,261,1,sectionalizing
293,222,2,1,sectionalizing
294,241,261,0,tie
295,262,2,1,sectionalizing
296,262,257,0,tie
297,263,257,1,sectionalizing
298,263,264,1,sectionalizing
299,265,264,1,sectionalizing
300,264,180,0,tie
301,266,3,1,sectionalizing
302,266,267,1,sectionalizing
303,267,268,1,sectionalizing
304,269,268,1,sectionalizing
305,269,270,1,sectionalizing
306,271,270,1,sectionalizing
307,272,270,1,sectionalizing
308,273,272,1,sectionalizing
309,273,274,1,sectionalizing
310,273,275,1,sectionalizing
311,275,276,1,sectionalizing
312,275,277,1,sectionalizing
313,276,278,1,sectionalizing
314,276,279,1,sectionalizing
315,278,280,1,sectionalizing
316,280,281,1,sectionalizing
317,280,282,1,sectionalizing
318,281,283,1,sectionalizing
319,281,284,1,sectionalizing
320,282,285,1,sectionalizing
321,282,286,1,sectionalizing
322,287,286,1,sectionalizing
323,288,286,1,sectionalizing
324,278,289,1,sectionalizing
325,277,290,1,sectionalizing
326,277,291,1,sectionalizing
327,272,292,1,sectionalizing
328,293,292,1,sectionalizing
329,293,294,0,tie
330,294,295,1,sectionalizing
331,294,296,1,sectionalizing
332,296,297,1,sectionalizing
333,296,298,1,sectionalizing
334,298,299,1,sectionalizing
335,298,300,1,sectionalizing
336,293,301,1,sectionalizing
337,293,302,1,sectionalizing
338,303,302,1,sectionalizing
339,303,304,1,sectionalizing
340,303,305,1,sectionalizing
341,303,306,1,sectionalizing
342,307,306,0,tie
343,267,307,1,sectionalizing
344,308,307,1,sectionalizing
345,309,308,1,sectionalizing
346,310,308,1,sectionalizing
347,310,311,1,sectionalizing
348,312,310,1,sectionalizing
349,313,312,1,sectionalizing
350,314,312,1,sectionalizing
351,314,315,1,sectionalizing
352,310,316,1,sectionalizing
353,317,316,1,sectionalizing
354,318,317,1,sectionalizing
355,319,318,1,sectionalizing
356,320,319,1,sectionalizing
357,319,321,1,sectionalizing
